primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1627846_Total_2017-18,1627846,Total,153,70,2,1.0392156862745099,1.170901853084989,0.947516123349437,0.4340547825452996,2017-18,2017-12-11T07:02:47.169,1627846,"Abdel Nader"
1627854_Total_2017-18,1627854,Total,847,390,2,1.037780401416765,1.1615601542400324,1.009969084507802,0.27897680317916973,2017-18,2017-12-11T07:02:47.169,1627854,"Bryn Forbes"
1627855_Total_2017-18,1627855,Total,133,65,3,1.105263157894737,1.1714855160037483,1.0524199328131871,0.3368113396550572,2017-18,2017-12-11T07:02:47.169,1627855,"Okaro White"
1628021_Total_2017-18,1628021,Total,515,233,3,1.0155339805825243,1.154035324588773,0.9626453578563315,0.3066852245353481,2017-18,2017-12-11T07:02:47.169,1628021,"David Nwaba"
1628365_Total_2017-18,1628365,Total,138,52,2,0.782608695652174,1.0196555999616153,0.9344587132845127,0.3636396173761735,2017-18,2017-12-11T07:02:47.169,1628365,"Markelle Fultz"
1628366_Total_2017-18,1628366,Total,1559,700,2,0.9890955740859525,1.128332033651958,0.9726565520022945,0.2817195313813438,2017-18,2017-12-11T07:02:47.169,1628366,"Lonzo Ball"
1628367_Total_2017-18,1628367,Total,1114,477,2,0.9488330341113106,1.1290530353719135,0.9731809623306569,0.30689669046486134,2017-18,2017-12-11T07:02:47.169,1628367,"Josh Jackson"
1628368_Total_2017-18,1628368,Total,1227,544,2,0.9845150774246129,1.1371713811823474,0.9522685417164718,0.2870006651640522,2017-18,2017-12-11T07:02:47.169,1628368,"DeAaron Fox"
1628369_Total_2017-18,1628369,Total,1462,669,3,1.0471956224350205,1.1805953603840451,1.021423590348401,0.3014706065853699,2017-18,2017-12-11T07:02:47.169,1628369,"Jayson Tatum"
1628370_Total_2017-18,1628370,Total,690,279,2,0.9057971014492754,1.1324443305216987,0.9252674252342461,0.33017847017955837,2017-18,2017-12-11T07:02:47.169,1628370,"Malik Monk"
1628371_Total_2017-18,1628371,Total,414,195,3,1.065217391304348,1.1684656217718843,0.9686954207102217,0.3187841200494627,2017-18,2017-12-11T07:02:47.169,1628371,"Jonathan Isaac"
1628372_Total_2017-18,1628372,Total,1168,510,2,1.0162671232876712,1.19527140719767,0.9862884312538261,0.2837329791548552,2017-18,2017-12-11T07:02:47.169,1628372,"Dennis Smith Jr."
1628373_Total_2017-18,1628373,Total,776,352,2,1.0141752577319587,1.1492064004033515,0.9856738885436885,0.29371378072434057,2017-18,2017-12-11T07:02:47.169,1628373,"Frank Ntilikina"
1628374_Total_2017-18,1628374,Total,1392,581,2,0.9554597701149425,1.1662268790587202,0.9612009856076538,0.28136920697160034,2017-18,2017-12-11T07:02:47.169,1628374,"Lauri Markkanen"
